date,WML
199001    ,5.45
199002    ,2.07
199003   ,-1.90
199004   ,-4.48
199005    ,5.23
199006   ,-0.25
199007    ,3.35
199008   ,-4.94
199009   ,-3.57
199010   ,-3.22
199011    ,1.73
199012   ,-1.83
199101   ,-0.59
199102   ,-8.84
199103    ,3.46
199104    ,4.69
199105    ,3.64
199106    ,1.28
199107    ,0.09
199108   ,-0.15
199109   ,-0.01
199110    ,0.78
199111   ,-0.79
199112    ,1.03
199201    ,3.32
199202    ,2.60
199203    ,0.95
199204   ,-0.29
199205    ,3.88
199206    ,4.55
199207    ,5.43
199208    ,5.67
199209   ,-1.84
199210   ,-1.32
199211   ,-3.45
199212    ,0.86
199301    ,1.10
199302    ,3.43
199303   ,-3.15
199304    ,2.58
199305    ,1.87
199306   ,-3.64
199307    ,0.66
199308    ,2.05
199309    ,5.78
199310    ,9.08
199311    ,5.12
199312    ,1.28
199401   ,-9.51
199402    ,2.94
199403   ,-2.73
199404    ,1.57
199405   ,-3.08
199406   ,-0.24
199407    ,0.90
199408    ,6.42
199409    ,2.12
199410    ,0.30
199411    ,1.56
199412    ,0.12
199501    ,6.09
199502   ,-3.44
199503    ,3.61
199504   ,-0.04
199505    ,1.91
199506    ,3.12
199507    ,0.18
199508    ,0.40
199509   ,-0.07
199510    ,5.58
199511    ,4.67
199512    ,1.30
199601   ,-2.28
199602    ,1.49
199603    ,1.56
199604   ,-1.95
199605   ,-1.13
199606    ,3.35
199607    ,2.29
199608    ,4.31
199609    ,2.36
199610    ,2.54
199611   ,-0.31
199612    ,0.24
199701    ,1.66
199702   ,-0.65
199703    ,1.66
199704    ,2.08
199705    ,3.07
199706    ,3.81
199707    ,0.35
199708   ,-0.13
199709    ,1.16
199710   ,-0.13
199711    ,8.01
199712    ,1.58
199801    ,2.23
199802   ,-1.21
199803   ,-1.86
199804    ,0.15
199805    ,2.58
199806    ,1.30
199807    ,0.46
199808    ,0.04
199809   ,-3.65
199810   ,-4.66
199811  ,-10.82
199812    ,2.36
199901   ,-1.04
199902    ,0.34
199903   ,-4.07
199904   ,-1.86
199905    ,2.05
199906    ,2.79
199907    ,3.06
199908    ,7.75
199909    ,0.31
199910    ,8.59
199911    ,4.32
199912    ,1.15
200001   ,-2.94
200002    ,5.55
200003   ,-2.35
200004   ,-6.91
200005    ,0.39
200006    ,3.72
200007   ,-4.10
200008    ,3.63
200009   ,-1.27
200010   ,-0.54
200011    ,1.33
200012   ,-0.71
200101   ,-8.00
200102    ,4.30
200103    ,3.29
200104    ,0.48
200105    ,2.63
200106    ,3.03
200107    ,0.41
200108    ,0.61
200109    ,6.82
200110   ,-2.57
200111   ,-8.25
200112   ,-0.17
200201    ,2.29
200202    ,4.49
200203   ,-0.80
200204    ,0.22
200205   ,-0.17
200206    ,3.12
200207    ,1.69
200208    ,0.49
200209    ,4.36
200210    ,1.12
200211   ,-0.33
200212    ,3.28
200301    ,1.55
200302    ,1.87
200303    ,2.55
200304   ,-2.15
200305   ,-2.65
200306    ,0.19
200307    ,1.02
200308    ,2.00
200309    ,0.99
200310    ,4.04
200311    ,0.69
200312    ,1.06
200401    ,0.35
200402    ,1.01
200403    ,2.17
200404   ,-2.09
200405   ,-0.46
200406    ,0.58
200407    ,2.20
200408   ,-0.43
200409    ,3.33
200410    ,1.76
200411    ,3.63
200412    ,2.31
200501    ,0.88
200502    ,1.20
200503   ,-0.32
200504    ,2.97
200505    ,0.19
200506    ,1.80
200507    ,2.60
200508    ,3.89
200509    ,1.01
200510    ,0.21
200511    ,1.64
200512   ,-1.31
200601   ,-0.37
200602   ,-1.56
200603    ,1.26
200604    ,1.76
200605   ,-1.21
200606    ,0.14
200607    ,0.94
200608    ,0.23
200609   ,-0.94
200610    ,1.26
200611    ,1.73
200612    ,0.91
200701    ,1.59
200702    ,2.47
200703    ,2.49
200704    ,3.00
200705    ,2.96
200706   ,-0.05
200707    ,3.15
200708    ,0.59
200709    ,1.25
200710    ,2.99
200711   ,-2.21
200712   ,-1.63
200801   ,-0.94
200802    ,3.62
200803   ,-2.00
200804    ,1.60
200805    ,1.63
200806    ,2.67
200807   ,-2.67
200808   ,-0.45
200809    ,2.77
200810    ,3.95
200811    ,0.67
200812   ,-7.79
200901   ,-2.48
200902    ,2.67
200903   ,-3.86
200904  ,-14.39
200905  ,-14.84
200906    ,0.10
200907   ,-0.27
200908   ,-1.85
200909   ,-0.40
200910   ,-0.60
200911    ,2.08
200912    ,2.38
201001   ,-2.76
201002    ,2.16
201003    ,1.68
201004    ,2.18
201005   ,-0.90
201006    ,0.21
201007    ,1.47
201008    ,2.26
201009    ,2.41
201010    ,1.59
201011    ,1.92
201012   ,-1.15
201101    ,0.84
201102    ,0.51
201103    ,3.37
201104    ,4.29
201105    ,1.42
201106    ,0.96
201107    ,2.12
201108    ,2.00
201109    ,0.09
201110   ,-2.95
201111    ,3.80
201112    ,1.18
201201   ,-7.67
201202   ,-2.30
201203    ,5.25
201204    ,4.32
201205    ,3.22
201206    ,1.33
201207    ,3.17
201208    ,1.26
201209   ,-0.63
201210    ,3.20
201211    ,3.62
201212   ,-1.42
201301    ,0.94
201302    ,4.82
201303    ,2.51
201304    ,3.76
201305    ,1.40
201306    ,0.03
201307    ,0.28
201308   ,-2.04
201309   ,-0.10
201310    ,1.56
201311    ,1.34
201312    ,1.85
201401    ,3.29
201402    ,3.40
201403   ,-3.59
201404   ,-2.72
201405    ,1.49
201406    ,3.14
201407   ,-0.61
201408    ,0.65
201409    ,1.04
201410    ,1.92
201411    ,0.93
201412   ,-0.17
201501    ,3.97
201502   ,-1.24
201503    ,2.79
201504   ,-2.34
201505    ,3.28
201506    ,1.61
201507    ,1.69
201508    ,1.17
201509    ,0.90
201510   ,-3.54
201511    ,2.77
201512    ,0.76
201601    ,1.70
201602   ,-3.26
201603   ,-5.12
201604   ,-1.53
201605    ,5.45
201606   ,-0.79
201607   ,-1.76
201608    ,1.51
201609    ,1.40
201610   ,-0.60
201611   ,-0.63
201612   ,-0.45
201701    ,2.90
201702   ,-0.28
201703    ,1.53
201704    ,1.05
201705    ,1.90
201706    ,3.27
201707    ,4.28
201708    ,1.54
201709    ,1.14
201710    ,1.95
201711    ,1.86
201712    ,0.24
201801    ,1.26
201802    ,1.02
201803    ,0.90
201804   ,-0.44
201805    ,3.00
201806   ,-0.84
201807   ,-1.05
201808    ,0.80
201809    ,0.75
201810   ,-1.66
201811   ,-0.73
201812    ,0.16
201901   ,-2.29
201902   ,-0.82
201903    ,1.68
201904   ,-1.35
201905    ,3.69
201906    ,1.26
201907    ,0.67
201908    ,3.53
201909   ,-0.84
201910    ,1.41
201911   ,-0.09
201912    ,0.29
202001    ,3.42
202002    ,3.98
202003    ,6.16
202004    ,0.77
202005    ,1.75
202006    ,2.50
202007    ,5.98
202008    ,0.52
202009    ,1.58
202010    ,1.28
202011   ,-8.36
202012    ,0.93
202101    ,7.02
202102   ,-2.03
202103   ,-2.82
202104    ,2.89
202105   ,-1.18
202106    ,3.73
202107    ,2.70
202108    ,1.51
202109   ,-0.77
202110    ,1.20
202111    ,1.98
202112    ,1.96
202201   ,-1.68

